user_id,item_id,scene_id,slot_id,shown,allowed_by_rules,outcome,timestamp,country,age_bucket,content_sensitivity
U00032,B0003,S008,SL0009,1,1,view,2026-01-31T09:21:00+00:00,AE,25-34,medium
U00617,B0038,S002,SL0012,1,0,no_action,2026-01-07T01:08:00+00:00,EU,25-34,medium
U00165,B0028,S005,SL0050,1,0,no_action,2026-01-13T17:35:00+00:00,IN,45+,low
U00711,B0040,S012,SL0028,1,0,no_action,2026-01-07T08:24:00+00:00,AE,18-24,low
U00783,B0045,S020,SL0031,1,1,view,2026-01-14T23:40:00+00:00,IN,18-24,medium
U00068,B0032,S014,SL0008,1,0,no_action,2026-01-26T23:15:00+00:00,US,35-44,low
U00079,B0055,S023,SL0003,1,1,no_action,2026-01-29T09:56:00+00:00,IN,25-34,low
U00558,B0070,S021,SL0006,1,1,view,2026-01-09T02:47:00+00:00,IN,25-34,low
U00115,B0057,S022,SL0043,1,1,click,2026-01-20T21:53:00+00:00,US,45+,low
U00775,B0070,S028,SL0008,1,0,no_action,2026-01-22T00:35:00+00:00,US,13-17,low
U00433,B0063,S003,SL0051,1,1,no_action,2026-01-17T22:22:00+00:00,IN,18-24,medium
U00459,B0013,S018,SL0007,1,0,no_action,2026-01-13T06:44:00+00:00,EU,25-34,low
U00689,B0065,S011,SL0011,1,1,view,2026-01-21T16:58:00+00:00,EU,45+,medium
U00174,B0030,S023,SL0054,1,0,no_action,2026-01-09T04:18:00+00:00,AE,45+,low
U00445,B0057,S025,SL0032,1,1,no_action,2026-01-28T14:08:00+00:00,US,18-24,low
U00800,B0064,S020,SL0002,1,1,no_action,2026-01-07T13:51:00+00:00,EU,18-24,medium
U00018,B0061,S023,SL0012,1,1,no_action,2026-01-26T08:49:00+00:00,US,25-34,low
U00140,B0067,S028,SL0017,1,1,no_action,2026-01-07T19:08:00+00:00,US,13-17,low
U00117,B0033,S017,SL0017,1,1,no_action,2026-01-26T08:30:00+00:00,EU,13-17,medium
U00269,B0018,S025,SL0013,1,0,no_action,2026-01-25T20:14:00+00:00,US,13-17,low
U00104,B0068,S004,SL0021,1,0,no_action,2026-01-16T16:34:00+00:00,AE,25-34,high
U00138,B0040,S008,SL0027,1,0,no_action,2026-01-16T19:21:00+00:00,IN,18-24,medium
U00683,B0053,S028,SL0006,1,1,purchase,2026-01-28T14:04:00+00:00,US,25-34,low
U00372,B0026,S007,SL0016,1,0,no_action,2026-01-22T02:34:00+00:00,US,35-44,low
U00287,B0015,S001,SL0059,1,1,view,2026-01-02T23:00:00+00:00,US,35-44,low
U00336,B0028,S028,SL0016,1,0,no_action,2026-01-02T19:49:00+00:00,IN,18-24,low
U00777,B0058,S011,SL0010,1,1,click,2026-01-09T21:12:00+00:00,IN,35-44,medium
U00393,B0001,S018,SL0054,1,0,no_action,2026-01-16T16:59:00+00:00,IN,35-44,low
U00376,B0045,S024,SL0005,1,0,no_action,2026-01-07T16:44:00+00:00,US,35-44,low
U00743,B0052,S014,SL0040,1,0,no_action,2026-01-07T02:00:00+00:00,EU,18-24,low
U00030,B0067,S001,SL0004,1,1,no_action,2026-01-02T05:59:00+00:00,IN,18-24,low
U00383,B0011,S022,SL0018,1,0,no_action,2026-01-11T15:13:00+00:00,EU,13-17,low
