user_id,item_id,event_type,rating,timestamp,scene_id,slot_id,country,age_bucket,content_sensitivity,placement_object
U00032,B0003,view,1,2026-01-13T01:29:00+00:00,S008,SL0009,AE,25-34,medium,bottle
U00783,B0045,view,1,2026-01-01T20:23:00+00:00,S020,SL0031,IN,18-24,medium,bottle
U00558,B0070,view,1,2026-01-26T22:24:00+00:00,S021,SL0006,IN,25-34,low,bottle
U00115,B0057,click,3,2026-01-28T05:47:00+00:00,S022,SL0043,US,45+,low,bottle
U00689,B0065,view,1,2026-01-05T00:18:00+00:00,S011,SL0011,EU,45+,medium,bottle
U00683,B0053,purchase,5,2026-01-18T13:14:00+00:00,S028,SL0006,US,25-34,low,bottle
U00287,B0015,view,1,2026-01-06T06:21:00+00:00,S001,SL0059,US,35-44,low,bottle
U00777,B0058,click,3,2026-01-20T13:30:00+00:00,S011,SL0010,IN,35-44,medium,bottle
U00599,B0060,add_to_cart,4,2026-01-12T12:40:00+00:00,S020,SL0041,AE,25-34,medium,bottle
U00710,B0006,view,1,2026-01-14T19:45:00+00:00,S025,SL0023,IN,35-44,low,bottle
U00196,B0003,view,1,2026-01-18T14:30:00+00:00,S002,SL0003,US,18-24,medium,bottle
U00192,B0061,click,3,2026-01-14T23:50:00+00:00,S027,SL0012,US,35-44,low,bottle
U00782,B0001,view,1,2026-01-25T07:09:00+00:00,S014,SL0037,AE,18-24,low,bottle
U00011,B0059,view,1,2026-01-29T19:55:00+00:00,S020,SL0021,IN,13-17,medium,bottle
U00283,B0060,view,1,2026-01-08T04:47:00+00:00,S027,SL0059,US,45+,low,bottle
U00331,B0004,view,1,2026-01-25T11:05:00+00:00,S001,SL0045,EU,45+,low,bottle
U00676,B0055,view,1,2026-01-17T22:58:00+00:00,S029,SL0044,IN,25-34,low,bottle
U00202,B0024,click,3,2026-01-29T15:51:00+00:00,S005,SL0048,AE,25-34,low,bottle
U00101,B0048,view,1,2026-01-06T02:24:00+00:00,S024,SL0013,AE,25-34,low,bottle
U00139,B0039,view,1,2026-01-18T11:52:00+00:00,S005,SL0056,EU,45+,low,bottle
U00163,B0061,view,1,2026-01-26T00:24:00+00:00,S021,SL0033,US,18-24,low,bottle
U00453,B0033,view,1,2026-01-15T01:29:00+00:00,S023,SL0024,EU,13-17,low,bottle
U00509,B0051,view,1,2026-01-09T13:23:00+00:00,S020,SL0056,IN,13-17,medium,bottle
U00344,B0006,view,1,2026-01-06T17:36:00+00:00,S025,SL0033,IN,35-44,low,bottle
U00372,B0068,click,3,2026-01-06T09:41:00+00:00,S029,SL0040,US,35-44,low,bottle
U00531,B0060,view,1,2026-01-17T17:43:00+00:00,S013,SL0006,IN,35-44,low,bottle
U00042,B0006,view,1,2026-01-24T13:50:00+00:00,S030,SL0060,EU,35-44,medium,bottle
U00489,B0048,view,1,2026-01-15T18:10:00+00:00,S004,SL0012,IN,25-34,high,bottle
U00689,B0021,click,3,2026-01-22T15:14:00+00:00,S024,SL0024,EU,45+,low,bottle
U00623,B0023,view,1,2026-01-03T12:46:00+00:00,S001,SL0028,AE,25-34,low,bottle
U00590,B0050,view,1,2026-01-09T02:16:00+00:00,S016,SL0008,US,13-17,medium,bottle
U00781,B0067,click,3,2026-01-02T07:44:00+00:00,S006,SL0005,US,45+,medium,bottle
U00455,B0068,view,1,2026-01-18T15:38:00+00:00,S030,SL0038,US,18-24,medium,bottle
U00325,B0039,view,1,2026-01-25T13:33:00+00:00,S014,SL0058,EU,18-24,low,bottle
U00762,B0065,view,1,2026-01-18T14:51:00+00:00,S025,SL0005,US,25-34,low,bottle
U00626,B0070,view,1,2026-01-20T17:55:00+00:00,S002,SL0028,IN,18-24,medium,bottle
U00551,B0065,view,1,2026-01-30T10:54:00+00:00,S020,SL0028,IN,35-44,medium,bottle
U00398,B0043,view,1,2026-01-12T06:32:00+00:00,S018,SL0042,US,25-34,low,bottle
U00749,B0037,view,1,2026-01-15T10:49:00+00:00,S010,SL0059,EU,18-24,medium,bottle
U00618,B0053,view,1,2026-01-13T07:05:00+00:00,S009,SL0018,US,25-34,low,bottle
U00154,B0020,view,1,2026-01-07T01:50:00+00:00,S006,SL0054,IN,18-24,medium,bottle
U00604,B0009,view,1,2026-01-24T05:31:00+00:00,S027,SL0057,EU,18-24,low,bottle
U00219,B0021,view,1,2026-01-08T07:58:00+00:00,S030,SL0049,AE,13-17,medium,bottle
U00318,B0019,view,1,2026-01-11T21:14:00+00:00,S008,SL0036,IN,35-44,medium,bottle
U00319,B0044,add_to_cart,4,2026-01-03T16:58:00+00:00,S028,SL0025,US,18-24,low,bottle
U00116,B0031,add_to_cart,4,2026-01-29T01:01:00+00:00,S027,SL0003,EU,45+,low,bottle
U00204,B0024,view,1,2026-01-09T22:05:00+00:00,S027,SL0012,US,18-24,low,bottle
U00164,B0042,view,1,2026-01-15T04:21:00+00:00,S012,SL0017,US,18-24,low,bottle
U00201,B0044,view,1,2026-01-10T01:23:00+00:00,S030,SL0054,EU,13-17,medium,bottle
U00534,B0029,view,1,2026-01-27T02:01:00+00:00,S019,SL0055,IN,45+,medium,bottle
U00077,B0035,view,1,2026-01-28T17:56:00+00:00,S017,SL0039,US,18-24,medium,bottle
U00474,B0048,view,1,2026-01-23T11:01:00+00:00,S004,SL0027,US,25-34,high,bottle
U00306,B0033,click,3,2026-01-12T13:48:00+00:00,S018,SL0054,IN,35-44,low,bottle
U00150,B0021,click,3,2026-01-14T22:53:00+00:00,S025,SL0015,US,18-24,low,bottle
U00743,B0037,view,1,2026-01-11T13:36:00+00:00,S018,SL0052,EU,18-24,low,bottle
U00445,B0050,click,3,2026-01-13T13:45:00+00:00,S029,SL0035,US,18-24,low,bottle
U00460,B0036,purchase,5,2026-01-23T11:11:00+00:00,S023,SL0036,IN,45+,low,bottle
U00790,B0069,click,3,2026-01-17T14:52:00+00:00,S012,SL0051,IN,18-24,low,bottle
U00078,B0051,click,3,2026-01-13T23:09:00+00:00,S026,SL0015,IN,18-24,low,bottle
U00126,B0063,view,1,2026-01-13T19:26:00+00:00,S026,SL0005,IN,18-24,low,bottle
U00292,B0061,click,3,2026-01-07T22:34:00+00:00,S014,SL0035,US,25-34,low,bottle
U00781,B0017,click,3,2026-01-14T10:34:00+00:00,S030,SL0049,US,45+,medium,bottle
U00258,B0002,view,1,2026-01-19T16:42:00+00:00,S013,SL0042,US,18-24,low,bottle
U00440,B0027,view,1,2026-01-18T07:43:00+00:00,S016,SL0001,IN,18-24,medium,bottle
U00287,B0068,view,1,2026-01-19T11:27:00+00:00,S002,SL0058,US,35-44,medium,bottle
U00781,B0004,view,1,2026-01-25T20:11:00+00:00,S022,SL0015,US,45+,low,bottle
U00202,B0032,add_to_cart,4,2026-01-21T16:58:00+00:00,S011,SL0048,AE,25-34,medium,bottle
U00067,B0066,add_to_cart,4,2026-01-08T16:57:00+00:00,S017,SL0018,IN,35-44,medium,bottle
U00766,B0069,view,1,2026-01-13T11:45:00+00:00,S025,SL0046,US,25-34,low,bottle
U00483,B0044,view,1,2026-01-14T01:47:00+00:00,S025,SL0009,IN,18-24,low,bottle
U00758,B0004,view,1,2026-01-20T17:53:00+00:00,S009,SL0003,AE,25-34,low,bottle
U00122,B0070,view,1,2026-01-14T06:51:00+00:00,S004,SL0016,IN,35-44,high,bottle
U00338,B0003,view,1,2026-01-04T02:03:00+00:00,S021,SL0029,EU,18-24,low,bottle
U00534,B0021,purchase,5,2026-01-27T23:00:00+00:00,S010,SL0050,IN,45+,medium,bottle
U00119,B0053,view,1,2026-01-14T15:13:00+00:00,S002,SL0011,IN,18-24,medium,bottle
U00062,B0051,view,1,2026-01-15T20:33:00+00:00,S024,SL0007,IN,35-44,low,bottle
U00087,B0010,view,1,2026-01-10T02:40:00+00:00,S029,SL0007,EU,18-24,low,bottle
U00615,B0020,view,1,2026-01-26T20:49:00+00:00,S012,SL0043,US,18-24,low,bottle
U00174,B0053,view,1,2026-01-23T09:58:00+00:00,S016,SL0023,AE,45+,medium,bottle
U00365,B0061,view,1,2026-01-29T11:01:00+00:00,S004,SL0013,IN,18-24,high,bottle
U00457,B0067,view,1,2026-01-16T01:42:00+00:00,S007,SL0028,AE,35-44,low,bottle
U00554,B0061,purchase,5,2026-01-30T01:50:00+00:00,S013,SL0037,AE,18-24,low,bottle
U00070,B0066,view,1,2026-01-25T18:47:00+00:00,S016,SL0023,IN,18-24,medium,bottle
U00473,B0024,click,3,2026-01-05T00:07:00+00:00,S010,SL0033,US,18-24,medium,bottle
U00350,B0069,view,1,2026-01-19T23:04:00+00:00,S014,SL0021,US,45+,low,bottle
U00108,B0004,click,3,2026-01-07T00:42:00+00:00,S011,SL0052,US,13-17,medium,bottle
U00646,B0053,view,1,2026-01-12T17:32:00+00:00,S009,SL0055,EU,25-34,low,bottle
U00747,B0044,view,1,2026-01-22T16:12:00+00:00,S001,SL0060,US,18-24,low,bottle
U00660,B0034,view,1,2026-01-05T17:04:00+00:00,S006,SL0020,IN,18-24,medium,bottle
U00708,B0024,view,1,2026-01-17T01:17:00+00:00,S015,SL0047,EU,25-34,medium,bottle
U00325,B0029,view,1,2026-01-09T06:58:00+00:00,S021,SL0029,EU,18-24,low,bottle
U00289,B0065,view,1,2026-01-04T21:32:00+00:00,S020,SL0050,IN,25-34,medium,bottle
