item_id,brand_name,category,is_alcohol,min_age,price_tier,region_availability,origin,packaging
B0001,Energy1,energy_drink,FALSE,0,mid,AE,local,glass_bottle
B0002,Spring2,water,FALSE,0,budget,"US,IN,EU,AE",global,can
B0003,Spring3,water,FALSE,0,mid,"US,IN,EU,AE",global,glass_bottle
B0004,Spring4,water,FALSE,0,premium,"US,IN,EU,AE",global,can
B0005,Spring5,water,FALSE,0,budget,IN,local,glass_bottle
B0006,Cola6,cola,FALSE,0,budget,"US,IN,EU,AE",global,plastic_bottle
B0007,Soda7,soda,FALSE,0,premium,AE,local,glass_bottle
B0008,Cola8,cola,FALSE,0,budget,"US,IN,EU,AE",global,glass_bottle
B0009,Spring9,water,FALSE,0,budget,"US,IN,EU,AE",global,can
B0010,Brew10,beer,TRUE,21,premium,"US,EU",global,can
B0011,Juice11,juice,FALSE,0,premium,US,local,can
B0012,Spring12,water,FALSE,0,mid,"US,IN,EU,AE",global,can
B0013,Spring13,water,FALSE,0,mid,IN,local,glass_bottle
B0014,Juice14,juice,FALSE,0,premium,IN,local,can
B0015,Spring15,water,FALSE,0,mid,"US,IN,EU,AE",global,glass_bottle
B0016,Spring16,water,FALSE,0,mid,AE,local,glass_bottle
B0017,Juice17,juice,FALSE,0,mid,US,local,plastic_bottle
B0018,Cola18,cola,FALSE,0,mid,EU,local,can
B0019,Spring19,water,FALSE,0,mid,IN,local,glass_bottle
B0020,Spring20,water,FALSE,0,budget,"US,IN,EU,AE",global,glass_bottle
B0021,Energy21,energy_drink,FALSE,0,mid,"US,IN,EU,AE",global,plastic_bottle
B0022,Brew22,beer,TRUE,21,mid,US,local,glass_bottle
B0023,Energy23,energy_drink,FALSE,0,budget,AE,local,glass_bottle
B0024,Spring24,water,FALSE,0,budget,"US,IN,EU,AE",global,glass_bottle
B0025,Cola25,cola,FALSE,0,mid,"US,IN,EU,AE",global,glass_bottle
B0026,Juice26,juice,FALSE,0,budget,EU,local,glass_bottle
B0027,Energy27,energy_drink,FALSE,0,budget,"US,IN,EU,AE",global,plastic_bottle
B0028,Brew28,beer,TRUE,21,budget,"US,EU",global,glass_bottle
B0029,Energy29,energy_drink,FALSE,0,budget,"US,IN,EU,AE",global,glass_bottle
B0030,Cola30,cola,FALSE,0,mid,EU,local,can
B0031,Juice31,juice,FALSE,0,budget,EU,local,can
B0032,Brew32,beer,TRUE,21,budget,AE,local,can
B0033,Juice33,juice,FALSE,0,mid,"US,IN,EU,AE",global,can
B0034,Juice34,juice,FALSE,0,budget,IN,local,can
B0035,Spring35,water,FALSE,0,budget,"US,IN,EU,AE",global,can
B0036,Juice36,juice,FALSE,0,mid,"US,IN,EU,AE",global,can
B0037,Soda37,soda,FALSE,0,mid,"US,IN,EU,AE",global,can
B0038,Cola38,cola,FALSE,0,mid,AE,local,can
B0039,Energy39,energy_drink,FALSE,0,mid,EU,local,glass_bottle
B0040,Brew40,beer,TRUE,21,premium,EU,local,can
B0041,Energy41,energy_drink,FALSE,0,budget,IN,local,can
B0042,Soda42,soda,FALSE,0,mid,"US,IN,EU,AE",global,glass_bottle
B0043,Cola43,cola,FALSE,0,mid,US,local,can
B0044,Soda44,soda,FALSE,0,budget,"US,IN,EU,AE",global,glass_bottle
B0045,Energy45,energy_drink,FALSE,0,premium,IN,local,glass_bottle
B0046,Juice46,juice,FALSE,0,budget,US,local,can
B0047,Brew47,beer,TRUE,21,premium,US,local,glass_bottle
B0048,Soda48,soda,FALSE,0,mid,"US,IN,EU,AE",global,glass_bottle
B0049,Spring49,water,FALSE,0,mid,IN,local,glass_bottle
B0050,Energy50,energy_drink,FALSE,0,budget,"US,IN,EU,AE",global,can
B0051,Soda51,soda,FALSE,0,premium,IN,local,glass_bottle
B0052,Brew52,beer,TRUE,21,mid,"US,EU",global,can
B0053,Juice53,juice,FALSE,0,budget,"US,IN,EU,AE",global,can
B0054,Cola54,cola,FALSE,0,budget,US,local,can
B0055,Cola55,cola,FALSE,0,mid,IN,local,plastic_bottle
B0056,Brew56,beer,TRUE,21,budget,EU,local,can
B0057,Juice57,juice,FALSE,0,mid,"US,IN,EU,AE",global,glass_bottle
B0058,Energy58,energy_drink,FALSE,0,mid,IN,local,plastic_bottle
B0059,Energy59,energy_drink,FALSE,0,budget,IN,local,glass_bottle
B0060,Spring60,water,FALSE,0,mid,"US,IN,EU,AE",global,glass_bottle
B0061,Energy61,energy_drink,FALSE,0,budget,"US,IN,EU,AE",global,glass_bottle
B0062,Brew62,beer,TRUE,21,premium,US,local,can
B0063,Cola63,cola,FALSE,0,premium,"US,IN,EU,AE",global,glass_bottle
B0064,Energy64,energy_drink,FALSE,0,budget,"US,IN,EU,AE",global,can
B0065,Soda65,soda,FALSE,0,mid,"US,IN,EU,AE",global,glass_bottle
B0066,Soda66,soda,FALSE,0,mid,"US,IN,EU,AE",global,glass_bottle
B0067,Spring67,water,FALSE,0,premium,"US,IN,EU,AE",global,glass_bottle
B0068,Energy68,energy_drink,FALSE,0,budget,US,local,can
B0069,Cola69,cola,FALSE,0,mid,"US,IN,EU,AE",global,glass_bottle
B0070,Spring70,water,FALSE,0,premium,IN,local,glass_bottle
