scene_id,slot_id,placement_object,visibility,occlusion,motion
S001,SL0001,bottle,midground,medium,static
S001,SL0002,bottle,foreground,medium,static
S002,SL0003,bottle,foreground,high,static
S002,SL0004,bottle,midground,low,static
S003,SL0005,bottle,background,medium,static
S003,SL0006,bottle,midground,low,moving
S004,SL0007,bottle,midground,medium,static
S004,SL0008,bottle,background,low,moving
S005,SL0009,bottle,background,medium,static
S005,SL0010,bottle,midground,low,static
S006,SL0011,bottle,background,low,static
S006,SL0012,bottle,background,low,moving
S007,SL0013,bottle,midground,high,static
S007,SL0014,bottle,background,low,static
S008,SL0015,bottle,background,medium,moving
S008,SL0016,bottle,midground,low,static
S009,SL0017,bottle,midground,low,static
S009,SL0018,bottle,background,low,moving
S010,SL0019,bottle,background,low,moving
S010,SL0020,bottle,foreground,low,static
S011,SL0021,bottle,midground,low,static
S011,SL0022,bottle,background,low,moving
S012,SL0023,bottle,midground,high,moving
S012,SL0024,bottle,midground,medium,moving
S013,SL0025,bottle,midground,low,static
S013,SL0026,bottle,background,low,static
S014,SL0027,bottle,midground,low,static
S014,SL0028,bottle,midground,low,moving
S015,SL0029,bottle,background,low,static
S015,SL0030,bottle,foreground,medium,static
S016,SL0031,bottle,background,medium,moving
S016,SL0032,bottle,background,low,static
S017,SL0033,bottle,background,medium,moving
S017,SL0034,bottle,foreground,medium,static
S018,SL0035,bottle,foreground,low,static
S018,SL0036,bottle,midground,low,moving
S019,SL0037,bottle,foreground,medium,moving
S019,SL0038,bottle,background,low,moving
S020,SL0039,bottle,midground,high,static
S020,SL0040,bottle,background,low,moving
S021,SL0041,bottle,midground,high,static
S021,SL0042,bottle,midground,low,static
S022,SL0043,bottle,background,medium,static
S022,SL0044,bottle,background,medium,moving
S023,SL0045,bottle,background,low,moving
S023,SL0046,bottle,midground,medium,static
S024,SL0047,bottle,midground,high,static
S024,SL0048,bottle,background,high,static
S025,SL0049,bottle,midground,medium,static
S025,SL0050,bottle,midground,low,moving
S026,SL0051,bottle,foreground,medium,static
S026,SL0052,bottle,midground,high,static
S027,SL0053,bottle,midground,low,moving
S027,SL0054,bottle,background,low,moving
S028,SL0055,bottle,foreground,high,static
S028,SL0056,bottle,background,low,static
S029,SL0057,bottle,foreground,medium,static
S029,SL0058,bottle,background,low,moving
S030,SL0059,bottle,midground,low,static
S030,SL0060,bottle,background,low,moving
