scene_id,genre,sensitivity,mood
S001,action,low,happy
S002,action,medium,calm
S003,drama,medium,happy
S004,thriller,high,happy
S005,drama,low,tense
S006,thriller,medium,tense
S007,drama,low,tense
S008,drama,medium,happy
S009,thriller,low,calm
S010,comedy,medium,calm
S011,drama,medium,happy
S012,action,low,serious
S013,action,low,calm
S014,action,low,happy
S015,drama,medium,calm
S016,comedy,medium,happy
S017,drama,medium,happy
S018,action,low,happy
S019,drama,medium,tense
S020,drama,medium,calm
S021,thriller,low,serious
S022,drama,low,calm
S023,action,low,serious
S024,comedy,low,calm
S025,thriller,low,calm
S026,romance,low,calm
S027,romance,low,calm
S028,thriller,low,serious
S029,comedy,low,tense
S030,thriller,medium,happy
