user_id,country,age_bucket,language,price_preference,local_brand_affinity,avoid_alcohol
U00001,EU,35-44,es,budget,0.613,False
U00002,IN,18-24,ta,budget,0.129,False
U00003,EU,45+,es,budget,0.778,False
U00004,IN,25-34,en,budget,0.43,False
U00005,US,18-24,en,mid,0.86,False
U00006,AE,18-24,en,premium,0.531,False
U00007,EU,25-34,de,premium,0.595,False
U00008,EU,18-24,es,mid,0.809,False
U00009,US,25-34,en,mid,0.353,False
U00010,IN,45+,ta,premium,0.332,False
U00011,IN,13-17,hi,premium,0.507,True
U00012,AE,13-17,en,budget,0.732,True
U00013,IN,45+,ta,mid,0.257,False
U00014,EU,25-34,fr,mid,0.183,False
U00015,IN,18-24,hi,budget,0.731,False
U00016,US,45+,en,budget,0.417,False
U00017,IN,45+,ta,premium,0.464,True
U00018,US,25-34,en,premium,0.142,False
U00019,EU,25-34,de,premium,0.401,False
U00020,IN,18-24,hi,mid,0.548,True
U00021,EU,13-17,en,budget,0.755,True
U00022,IN,25-34,hi,budget,0.38,False
U00023,AE,18-24,ar,mid,0.915,False
U00024,EU,25-34,fr,mid,0.399,False
U00025,EU,35-44,de,mid,0.4,False
U00026,US,13-17,en,mid,0.888,True
U00027,IN,25-34,hi,budget,0.597,False
U00028,US,18-24,en,mid,0.429,True
U00029,US,35-44,en,budget,0.516,False
U00030,IN,18-24,ta,budget,0.848,False
U00031,EU,25-34,es,budget,0.873,False
U00032,AE,25-34,ar,budget,0.37,False
U00033,US,18-24,en,premium,0.541,False
U00034,IN,25-34,ta,budget,0.57,False
U00035,IN,35-44,te,budget,0.333,False
U00036,US,25-34,en,mid,0.538,False
U00037,US,35-44,en,mid,0.551,False
U00038,IN,45+,hi,budget,0.801,False
U00039,US,18-24,en,budget,0.816,False
U00040,IN,25-34,te,budget,0.478,False
U00041,IN,13-17,ta,mid,0.503,True
U00042,EU,35-44,es,budget,0.696,False
U00043,EU,25-34,en,budget,0.421,True
U00044,US,18-24,en,budget,0.68,False
U00045,EU,13-17,de,mid,0.531,True
U00046,EU,45+,en,budget,0.337,False
U00047,IN,18-24,te,mid,0.339,False
U00048,US,25-34,en,budget,0.868,True
U00049,IN,18-24,te,mid,0.516,False
U00050,US,45+,en,budget,0.911,False
U00051,US,18-24,en,budget,0.437,False
U00052,US,18-24,en,budget,0.614,True
U00053,EU,35-44,fr,mid,1.0,True
U00054,IN,45+,ta,premium,0.317,False
U00055,EU,18-24,es,budget,0.132,False
U00056,EU,25-34,en,budget,0.833,True
U00057,IN,35-44,en,premium,0.368,True
U00058,IN,35-44,en,mid,0.545,False
U00059,US,18-24,en,budget,0.421,True
U00060,US,25-34,en,budget,0.609,False
U00061,IN,35-44,ta,mid,0.341,False
U00062,IN,35-44,te,mid,0.51,False
U00063,IN,35-44,te,mid,0.649,False
U00064,EU,25-34,es,premium,0.328,True
U00065,IN,13-17,ta,mid,0.396,True
U00066,IN,45+,en,budget,0.474,False
U00067,IN,35-44,en,mid,0.236,False
U00068,US,35-44,en,budget,0.457,False
U00069,US,13-17,en,budget,0.576,True
U00070,IN,18-24,hi,budget,0.462,False
U00071,US,35-44,en,budget,0.49,False
U00072,IN,13-17,hi,mid,0.546,True
U00073,EU,45+,de,budget,0.406,False
U00074,US,18-24,en,budget,0.702,True
U00075,US,25-34,en,mid,0.866,False
U00076,US,45+,en,mid,0.448,False
U00077,US,18-24,en,mid,0.657,False
U00078,IN,18-24,en,mid,0.497,False
U00079,IN,25-34,hi,mid,0.63,False
U00080,EU,25-34,en,budget,0.894,False
U00081,IN,18-24,en,mid,0.662,False
U00082,IN,25-34,en,mid,0.16,False
U00083,EU,45+,en,budget,0.65,False
U00084,US,25-34,en,budget,0.821,False
U00085,US,18-24,en,budget,0.501,False
U00086,US,18-24,en,mid,0.769,False
U00087,EU,18-24,de,budget,0.398,False
U00088,IN,18-24,hi,budget,0.223,False
U00089,US,18-24,en,mid,0.581,False
U00090,IN,25-34,hi,premium,0.164,False
U00091,US,18-24,en,budget,0.497,False
U00092,IN,45+,hi,premium,0.833,False
U00093,IN,18-24,te,budget,0.13,False
U00094,IN,13-17,ta,premium,0.269,True
U00095,US,35-44,en,premium,0.323,False
U00096,IN,45+,te,budget,0.536,False
U00097,IN,18-24,te,mid,0.47,True
U00098,US,18-24,en,premium,0.858,False
U00099,US,18-24,en,premium,0.76,False
U00100,AE,25-34,ar,premium,0.659,False
U00101,AE,25-34,ar,mid,0.582,False
U00102,IN,18-24,en,budget,0.637,False
U00103,US,13-17,en,mid,0.36,True
U00104,AE,25-34,ar,mid,0.739,False
U00105,EU,45+,en,mid,0.305,True
U00106,EU,25-34,fr,budget,0.734,False
U00107,IN,25-34,te,mid,0.811,False
U00108,US,13-17,en,budget,0.596,True
U00109,US,18-24,en,mid,0.511,False
U00110,AE,18-24,en,budget,0.638,False
U00111,IN,35-44,en,mid,0.0,False
U00112,US,35-44,en,mid,0.616,False
U00113,US,45+,en,mid,0.525,False
U00114,IN,45+,ta,mid,0.539,False
U00115,US,45+,en,budget,0.705,False
U00116,EU,45+,en,premium,0.534,False
U00117,EU,13-17,en,mid,0.299,True
U00118,EU,18-24,es,budget,0.519,False
U00119,IN,18-24,te,budget,0.565,True
U00120,IN,25-34,en,budget,0.575,True
U00121,IN,13-17,ta,mid,0.586,False
U00122,IN,35-44,ta,premium,0.779,False
U00123,US,25-34,en,mid,0.311,False
U00124,IN,25-34,en,budget,0.589,False
U00125,US,18-24,en,premium,0.834,False
U00126,IN,18-24,hi,budget,0.168,False
U00127,US,18-24,en,premium,0.59,True
U00128,US,35-44,en,budget,0.421,False
U00129,US,25-34,en,mid,0.468,False
U00130,IN,35-44,hi,premium,0.351,False
U00131,US,18-24,en,budget,0.513,True
U00132,AE,18-24,en,mid,0.955,True
U00133,IN,18-24,en,premium,0.272,False
U00134,US,35-44,en,budget,0.293,False
U00135,IN,35-44,en,budget,0.264,False
U00136,US,18-24,en,mid,0.93,False
U00137,AE,45+,en,budget,0.448,False
U00138,IN,18-24,hi,budget,0.544,False
U00139,EU,45+,fr,mid,0.461,False
U00140,US,13-17,en,mid,0.342,True
U00141,IN,18-24,en,budget,0.498,False
U00142,IN,35-44,hi,budget,1.0,False
U00143,AE,18-24,en,mid,0.856,True
U00144,IN,18-24,ta,mid,0.362,False
U00145,IN,18-24,en,mid,0.692,False
U00146,US,18-24,en,budget,0.367,False
U00147,US,25-34,en,premium,0.159,False
U00148,IN,35-44,ta,mid,0.774,False
U00149,IN,35-44,te,budget,0.805,False
U00150,US,18-24,en,premium,0.78,False
U00151,EU,25-34,es,mid,0.447,False
U00152,EU,18-24,de,budget,0.513,False
U00153,US,18-24,en,budget,0.715,False
U00154,IN,18-24,hi,mid,0.636,False
U00155,US,45+,en,budget,0.463,False
U00156,IN,45+,te,budget,0.194,True
U00157,US,35-44,en,budget,0.575,False
U00158,IN,25-34,hi,budget,0.787,False
U00159,EU,25-34,en,budget,0.287,False
U00160,EU,25-34,fr,mid,0.691,False
U00161,US,25-34,en,budget,0.623,True
U00162,AE,18-24,en,budget,0.715,False
U00163,US,18-24,en,mid,0.742,False
U00164,US,18-24,en,budget,0.397,False
U00165,IN,45+,en,mid,0.194,False
U00166,IN,25-34,en,budget,0.433,False
U00167,EU,45+,es,budget,0.746,True
U00168,EU,18-24,de,budget,0.431,False
U00169,US,25-34,en,mid,0.397,True
U00170,AE,18-24,en,budget,0.149,True
U00171,US,18-24,en,mid,0.936,False
U00172,IN,13-17,ta,budget,0.732,True
U00173,US,13-17,en,mid,0.719,True
U00174,AE,45+,en,mid,0.763,False
U00175,US,18-24,en,budget,0.677,False
U00176,US,25-34,en,mid,0.496,False
U00177,IN,25-34,hi,budget,0.514,False
U00178,AE,18-24,ar,budget,0.456,False
U00179,EU,25-34,de,budget,1.0,False
U00180,EU,18-24,fr,mid,0.672,False
U00181,EU,45+,fr,premium,0.448,True
U00182,EU,35-44,en,budget,0.652,True
U00183,IN,35-44,en,mid,0.328,False
U00184,US,25-34,en,mid,0.881,False
U00185,EU,18-24,en,budget,0.405,True
U00186,IN,45+,ta,mid,0.66,False
U00187,IN,18-24,te,mid,0.785,False
U00188,US,13-17,en,premium,0.635,False
U00189,EU,18-24,fr,premium,0.571,False
U00190,US,35-44,en,budget,0.552,False
U00191,AE,25-34,ar,budget,0.538,False
U00192,US,35-44,en,mid,0.423,False
U00193,US,35-44,en,budget,0.451,True
U00194,EU,18-24,en,budget,0.876,False
U00195,US,45+,en,premium,0.526,False
U00196,US,18-24,en,budget,0.377,False
U00197,IN,25-34,en,mid,0.436,False
U00198,EU,13-17,fr,mid,0.792,True
U00199,US,45+,en,budget,0.699,False
U00200,US,18-24,en,mid,0.673,False
U00201,EU,13-17,es,premium,0.493,False
U00202,AE,25-34,ar,mid,0.676,False
U00203,IN,18-24,ta,budget,0.408,False
U00204,US,18-24,en,budget,0.493,False
U00205,US,25-34,en,premium,0.763,True
U00206,US,18-24,en,budget,0.742,False
U00207,US,45+,en,mid,0.334,True
U00208,IN,18-24,en,budget,0.362,False
U00209,US,35-44,en,budget,0.574,False
U00210,IN,25-34,ta,premium,0.93,False
U00211,IN,25-34,en,mid,0.129,True
U00212,IN,25-34,en,premium,0.611,False
U00213,US,25-34,en,budget,0.247,False
U00214,EU,45+,de,mid,0.41,False
U00215,EU,18-24,en,premium,0.47,False
U00216,EU,18-24,es,budget,0.457,True
U00217,US,25-34,en,budget,0.433,False
U00218,US,35-44,en,premium,0.552,True
U00219,AE,13-17,ar,budget,0.432,True
U00220,IN,18-24,te,mid,0.228,False
U00221,US,45+,en,premium,0.722,False
U00222,IN,35-44,hi,budget,0.716,False
U00223,IN,45+,en,budget,0.735,True
U00224,AE,25-34,ar,budget,0.211,True
U00225,US,25-34,en,budget,0.616,False
U00226,AE,18-24,ar,budget,0.699,False
U00227,US,45+,en,mid,0.323,False
U00228,IN,18-24,ta,budget,0.552,False
U00229,IN,35-44,te,mid,0.524,False
U00230,US,18-24,en,budget,0.955,True
U00231,US,25-34,en,budget,0.973,True
U00232,IN,25-34,en,budget,0.184,False
U00233,AE,25-34,en,mid,1.0,False
U00234,IN,45+,ta,mid,0.349,False
U00235,AE,18-24,en,budget,0.766,False
U00236,EU,25-34,es,premium,0.764,False
U00237,IN,18-24,en,mid,0.331,False
U00238,EU,18-24,de,budget,0.659,False
U00239,US,18-24,en,premium,0.526,False
U00240,US,18-24,en,budget,0.672,False
U00241,EU,13-17,es,budget,0.601,True
U00242,EU,25-34,fr,mid,0.813,False
U00243,US,25-34,en,budget,0.567,False
U00244,IN,25-34,en,budget,0.513,False
U00245,IN,13-17,ta,mid,0.791,True
U00246,EU,18-24,en,budget,0.678,False
U00247,IN,18-24,te,mid,0.711,False
U00248,IN,35-44,ta,premium,0.404,False
U00249,IN,35-44,te,mid,0.32,False
U00250,IN,18-24,en,mid,0.425,False
U00251,IN,25-34,ta,mid,0.413,False
U00252,EU,18-24,en,premium,0.723,False
U00253,IN,18-24,te,budget,0.765,False
U00254,US,18-24,en,budget,0.516,False
U00255,US,18-24,en,mid,0.865,False
U00256,EU,25-34,de,mid,0.851,False
U00257,EU,45+,fr,budget,0.604,False
U00258,US,18-24,en,mid,0.369,False
U00259,US,25-34,en,budget,0.897,False
U00260,IN,25-34,hi,premium,0.537,True
U00261,US,45+,en,budget,0.578,False
U00262,EU,25-34,en,budget,0.475,False
U00263,US,18-24,en,budget,0.354,False
U00264,US,25-34,en,budget,0.227,False
U00265,AE,18-24,ar,budget,0.689,False
U00266,US,45+,en,budget,0.378,False
U00267,US,18-24,en,budget,1.0,False
U00268,US,25-34,en,budget,0.311,False
U00269,US,13-17,en,budget,0.273,True
U00270,US,18-24,en,budget,0.662,True
U00271,US,35-44,en,budget,0.886,False
U00272,US,25-34,en,budget,0.564,False
U00273,US,18-24,en,budget,0.676,False
U00274,IN,45+,en,budget,0.144,False
U00275,IN,35-44,hi,budget,0.401,False
U00276,IN,18-24,te,mid,0.314,True
U00277,US,25-34,en,premium,0.133,False
U00278,IN,25-34,te,premium,0.576,False
U00279,EU,25-34,de,mid,0.057,False
U00280,EU,18-24,de,mid,0.259,False
U00281,US,18-24,en,budget,0.432,False
U00282,US,45+,en,mid,0.367,False
U00283,US,45+,en,mid,0.637,False
U00284,US,35-44,en,mid,0.617,False
U00285,IN,45+,te,premium,0.747,True
U00286,IN,35-44,ta,budget,0.716,False
U00287,US,35-44,en,mid,0.801,False
U00288,IN,35-44,hi,mid,0.55,True
U00289,IN,25-34,ta,budget,0.617,False
U00290,US,25-34,en,premium,0.663,True
U00291,EU,18-24,es,budget,0.581,False
U00292,US,25-34,en,premium,0.463,False
U00293,AE,18-24,ar,mid,0.477,False
U00294,US,18-24,en,budget,0.37,False
U00295,EU,25-34,es,mid,0.643,False
U00296,AE,18-24,ar,budget,0.529,False
U00297,AE,18-24,en,mid,0.404,False
U00298,EU,35-44,es,mid,0.404,False
U00299,EU,35-44,de,mid,0.284,False
U00300,IN,18-24,hi,premium,0.765,False
U00301,EU,13-17,de,budget,0.567,True
U00302,US,18-24,en,budget,0.36,False
U00303,IN,35-44,hi,budget,0.728,True
U00304,IN,35-44,te,budget,0.427,False
U00305,EU,18-24,es,budget,0.241,False
U00306,IN,35-44,en,budget,0.775,True
U00307,IN,13-17,hi,budget,0.432,True
U00308,IN,18-24,ta,budget,0.46,False
U00309,US,45+,en,premium,0.559,False
U00310,US,18-24,en,budget,0.801,False
